id	mass	x	y	vel_x	vel_y
77	1.81268e+39	2.91258e+16	-5.93928e+16	1.65118e+11	-3.36701e+11	
78	1.46573e+39	1.9941e+16	4.53407e+16	1.1301e+11	2.57072e+11	
79	4.3031e+39	-3.44367e+16	8.90762e+15	-1.95258e+11	5.05322e+10	
80	3.47657e+39	-8.42622e+16	-1.00328e+15	-4.77703e+11	-5.72954e+09	
81	5.88695e+39	-2.02896e+16	4.17394e+16	-1.15033e+11	2.36662e+11	
82	2.94226e+39	1.26609e+16	8.41291e+15	7.17866e+10	4.77077e+10	
83	4.05192e+39	1.76134e+16	1.70878e+16	9.98891e+10	9.68852e+10	
84	2.40716e+39	-1.27092e+16	8.18021e+16	-7.20307e+10	4.63782e+11	
85	1.88228e+38	-2.49067e+16	-1.80385e+16	-1.41244e+11	-1.02272e+11	
86	2.63549e+39	4.97483e+15	-3.88326e+15	2.81943e+10	-2.19658e+10	
87	8.68134e+39	-1.41131e+16	1.84403e+16	-7.99896e+10	1.0454e+11	
88	7.30396e+39	1.29518e+16	-2.05826e+16	7.34712e+10	-1.16721e+11	
89	2.28978e+39	-8.90723e+16	-2.69915e+16	-5.04951e+11	-1.53069e+11	
90	5.85791e+39	-1.14966e+16	4.83111e+16	-6.52116e+10	2.73879e+11	
91	7.33721e+39	-2.20441e+16	-4.08725e+15	-1.25021e+11	-2.31762e+10	
92	6.89176e+39	-1.27694e+16	1.28148e+15	-7.24225e+10	7.23809e+09	
93	3.09594e+38	-1.44313e+16	-2.48652e+15	-8.1848e+10	-1.40919e+10	
94	6.18583e+39	6.02211e+17	1.17594e+17	3.41393e+12	6.66671e+11	
95	4.20815e+39	-9.63724e+16	-7.63362e+16	-5.4634e+11	-4.32705e+11	
96	9.55478e+39	2.13052e+16	-7.78088e+15	1.2079e+11	-4.41621e+10	
97	2.44177e+39	9.77463e+15	-1.92227e+16	5.54164e+10	-1.09002e+11	
98	4.86364e+39	-6.59084e+15	-7.37824e+15	-3.74048e+10	-4.18592e+10	
99	4.01506e+39	8.02434e+15	2.30268e+15	4.54874e+10	1.30776e+10	
100	8.49035e+39	-2.38429e+16	-1.81298e+16	-1.35193e+11	-1.02813e+11	
101	1.22476e+39	3.2754e+15	-1.63753e+15	1.85716e+10	-9.27622e+09	
102	4.8088e+39	-3.4181e+16	1.18773e+16	-1.93815e+11	6.73723e+10	
103	8.5775e+39	-5.12651e+15	-8.02541e+15	-2.90878e+10	-4.54853e+10	
104	5.82051e+39	2.36642e+16	1.00663e+16	1.34196e+11	5.71116e+10	
105	4.67259e+39	1.26021e+18	2.49384e+17	7.144e+12	1.41374e+12	
106	8.67539e+39	-1.62644e+15	-1.54533e+16	-9.23053e+09	-8.76339e+10	
107	3.7206e+39	1.28513e+16	-7.02146e+15	7.2879e+10	-3.98038e+10	
108	1.46505e+39	1.1067e+16	-1.88334e+15	6.27291e+10	-1.07008e+10	
109	4.00231e+39	6.08152e+15	-1.32289e+17	3.44286e+10	-7.4992e+11	
110	7.4482e+38	8.42447e+15	2.48355e+16	4.77867e+10	1.40843e+11	
111	5.74974e+39	1.46614e+15	-1.32155e+16	8.31205e+09	-7.49878e+10	
112	5.1144e+39	1.03323e+16	5.63584e+15	5.86094e+10	3.19585e+10	
113	8.95741e+38	2.74015e+16	-1.41271e+17	1.55333e+11	-8.00848e+11	
114	3.25583e+39	1.42784e+17	-2.37369e+17	8.09448e+11	-1.34562e+12	
115	5.59938e+39	4.15897e+16	3.57591e+15	2.35734e+11	2.02972e+10	
116	1.50341e+39	4.19754e+15	-9.30893e+16	2.37947e+10	-5.27731e+11	
117	8.47424e+39	1.86833e+17	-1.12978e+17	1.05918e+12	-6.40491e+11	
118	6.65266e+39	5.18566e+16	-1.25858e+15	2.94024e+11	-7.10821e+09	
119	7.33342e+39	8.88403e+16	-2.0311e+16	5.03639e+11	-1.1515e+11	
120	6.60819e+39	-4.3382e+16	5.96441e+15	-2.45972e+11	3.38327e+10	
121	4.05635e+39	-9.70981e+15	5.76035e+16	-5.50203e+10	3.26565e+11	
122	7.487e+39	2.43419e+17	2.51039e+17	1.3799e+12	1.4231e+12	
123	2.21377e+39	-8.58945e+14	-2.76202e+14	-4.856e+09	-1.53671e+09	
124	1.68943e+39	1.57899e+15	-2.71997e+16	8.95547e+09	-1.54167e+11	
125	1.66099e+39	3.89078e+16	1.60416e+15	2.20566e+11	9.15101e+09	
126	4.53647e+39	2.04986e+16	9.35763e+15	1.16237e+11	5.30494e+10	
127	6.43814e+39	-4.97929e+16	7.32777e+15	-2.82277e+11	4.15494e+10	
128	2.208e+39	1.89849e+15	-6.95493e+15	1.07261e+10	-3.93857e+10	
129	4.40999e+39	-1.7541e+15	3.31145e+16	-9.97559e+09	1.87722e+11	
