id	mass	x	y	vel_x	vel_y
177	2.78278e+39	8.83508e+15	-1.09794e+16	5.00989e+10	-6.22114e+10	
178	2.91931e+38	-9.79331e+15	-2.23721e+15	-5.54644e+10	-1.26396e+10	
179	7.77399e+39	1.79852e+15	-1.72639e+15	1.01686e+10	-9.82914e+09	
180	4.67375e+39	-9.10493e+15	6.8079e+15	-5.15956e+10	3.86368e+10	
181	5.37045e+39	3.38193e+16	-2.40514e+16	1.91771e+11	-1.36304e+11	
182	4.15339e+39	1.01504e+16	3.24178e+15	5.75935e+10	1.83898e+10	
183	8.40379e+38	2.17375e+15	2.70207e+16	1.23631e+10	1.53171e+11	
184	2.28885e+39	5.08586e+14	4.15345e+15	2.45677e+09	2.34196e+10	
185	7.1944e+39	-3.32206e+14	1.26124e+16	-1.91503e+09	7.14726e+10	
186	5.13665e+39	1.13597e+16	-4.98513e+15	6.43553e+10	-2.82258e+10	
187	6.68664e+39	3.60358e+15	-1.04629e+15	2.03831e+10	-5.87462e+09	
188	9.57943e+39	-9.44738e+15	4.40877e+15	-5.35677e+10	2.49443e+10	
189	9.70426e+39	-1.25559e+16	4.64167e+16	-7.11954e+10	2.63133e+11	
190	3.63398e+39	-7.33009e+15	5.73111e+15	-4.15546e+10	3.25255e+10	
191	7.29583e+39	-5.51774e+15	1.20036e+16	-3.13094e+10	6.80974e+10	
192	8.14134e+39	6.32539e+15	-1.08e+15	3.58912e+10	-6.09811e+09	
193	3.82384e+39	-9.02539e+14	-2.43107e+16	-5.0992e+09	-1.37868e+11	
194	2.63489e+38	-8.14991e+15	-1.56501e+16	-4.62479e+10	-8.87332e+10	
195	7.759e+39	-8.94504e+15	-1.24226e+16	-5.07092e+10	-7.04127e+10	
196	5.72319e+39	-8.31573e+15	-1.76138e+15	-4.71596e+10	-1.00026e+10	
197	8.5976e+39	-5.34813e+17	-2.57049e+17	-3.03177e+12	-1.4572e+12	
198	7.636e+39	-6.32643e+14	-1.89489e+15	-3.62521e+09	-1.07786e+10	
199	9.26065e+39	-7.26839e+16	-1.01075e+17	-4.12092e+11	-5.73e+11	
200	8.48563e+39	7.96404e+15	-1.73233e+16	4.51455e+10	-9.8242e+10	
201	6.5201e+39	4.45405e+16	-1.23419e+16	2.52549e+11	-6.99879e+10	
202	6.25839e+39	5.0774e+15	-2.2755e+16	2.87667e+10	-1.29042e+11	
203	6.34712e+39	7.46547e+15	-2.88648e+16	4.23084e+10	-1.6365e+11	
204	1.6856e+39	1.83914e+15	-3.4211e+15	1.04027e+10	-1.94107e+10	
205	2.64011e+39	-3.76441e+15	-1.83142e+16	-2.13593e+10	-1.03808e+11	
206	7.27541e+39	-1.32962e+16	-7.12507e+14	-7.5417e+10	-4.01669e+09	
207	4.03907e+39	1.55971e+15	5.77277e+15	8.89395e+09	3.26842e+10	
208	8.52598e+39	-7.19333e+15	-2.97067e+16	-4.07522e+10	-1.6846e+11	
209	9.48583e+39	-5.1199e+15	-1.87818e+17	-2.89765e+10	-1.06475e+12	
210	4.30386e+39	-1.27093e+17	4.2909e+15	-7.20427e+11	2.43803e+10	
211	5.3093e+39	-3.44157e+15	-1.56392e+16	-1.95421e+10	-8.86974e+10	
212	5.49237e+39	1.71702e+16	-9.1966e+14	9.73108e+10	-5.16254e+09	
213	2.44467e+39	7.91347e+14	1.0549e+16	4.48012e+09	5.9846e+10	
214	7.33607e+39	-2.28434e+16	-4.72031e+15	-1.29541e+11	-2.6777e+10	
215	1.92378e+39	4.99704e+15	1.90096e+16	2.85637e+10	1.07734e+11	
216	7.18357e+39	-1.60593e+16	2.34534e+16	-9.10928e+10	1.32961e+11	
217	5.09919e+39	6.85811e+15	-1.65856e+16	3.88507e+10	-9.40565e+10	
218	9.69844e+39	-9.41969e+15	1.64174e+16	-5.34268e+10	9.3123e+10	
